legislation_number,sponsor,party_of_sponsor,date_of_introduction,congress,state
H.R. 5640,"Leach, James A. [Rep.-R-IA-1]",Republican,12/05/2000,106,IA
H.R. 5633,"Istook, Ernest J., Jr. [Rep.-R-OK-5]",Republican,11/14/2000,106,OK
H.R. 5630,"Goss, Porter J. [Rep.-R-FL-14]",Republican,11/13/2000,106,FL
H.R. 5528,"Thune, John [Rep.-R-SD-00]",Republican,10/24/2000,106,SD
H.R. 5478,"Rangel, Charles B. [Rep.-D-NY-15]",Democratic,10/17/2000,106,NY
H.R. 5461,"Cunningham, Randy (Duke) [Rep.-R-CA-51]",Republican,10/12/2000,106,CA
H.R. 5417,"LaFalce, John J. [Rep.-D-NY-29]",Democratic,10/06/2000,106,NY
H.R. 5410,"Thomas, William M. [Rep.-R-CA-21]",Republican,10/06/2000,106,CA
H.R. 5388,"Young, Don [Rep.-R-AK-00]",Republican,10/04/2000,106,AK
H.R. 5362,"Dreier, David [Rep.-R-CA-28]",Republican,10/03/2000,106,CA
H.R. 5331,"Davis, Danny K. [Rep.-D-IL-7]",Democratic,09/28/2000,106,IL
H.R. 5314,"Bartlett, Roscoe G. [Rep.-R-MD-6]",Republican,09/27/2000,106,MD
H.R. 5302,"McDermott, Jim [Rep.-D-WA-7]",Democratic,09/26/2000,106,WA
H.R. 5284,"Scott, Robert C. ""Bobby"" [Rep.-D-VA-3]",Democratic,09/25/2000,106,VA
H.R. 5273,"Bachus, Spencer [Rep.-R-AL-6]",Republican,09/25/2000,106,AL
H.R. 5266,"Cannon, Chris [Rep.-R-UT-3]",Republican,09/21/2000,106,UT
H.R. 5239,"Gilman, Benjamin A. [Rep.-R-NY-20]",Republican,09/21/2000,106,NY
H.R. 5234,"Radanovich, George [Rep.-R-CA-19]",Republican,09/20/2000,106,CA
H.R. 5229,"Kingston, Jack [Rep.-R-GA-1]",Republican,09/20/2000,106,GA
H.R. 5212,"Kind, Ron [Rep.-D-WI-3]",Democratic,09/19/2000,106,WI
H.R. 5210,"Goodling, William F. [Rep.-R-PA-19]",Republican,09/19/2000,106,PA
H.R. 5193,"Lazio, Rick [Rep.-R-NY-2]",Republican,09/18/2000,106,NY
H.R. 5178,"Ballenger, Cass [Rep.-R-NC-10]",Republican,09/14/2000,106,NC
H.R. 5164,"Upton, Fred [Rep.-R-MI-6]",Republican,09/13/2000,106,MI
H.R. 5157,"Millender-McDonald, Juanita [Rep.-D-CA-37]",Democratic,09/12/2000,106,CA
H.R. 5110,"Calvert, Ken [Rep.-R-CA-43]",Republican,09/06/2000,106,CA
H.R. 5107,"Coble, Howard [Rep.-R-NC-6]",Republican,09/06/2000,106,NC
H.R. 5083,"Roybal-Allard, Lucille [Rep.-D-CA-33]",Democratic,07/27/2000,106,CA
H.R. 5036,"Hall, Tony P. [Rep.-D-OH-3]",Democratic,07/27/2000,106,OH
H.R. 5016,"Blagojevich, Rod R. [Rep.-D-IL-5]",Democratic,07/27/2000,106,IL
H.R. 4986,"Archer, Bill [Rep.-R-TX-7]",Republican,07/27/2000,106,TX
H.R. 4975,"LoBiondo, Frank A. [Rep.-R-NJ-2]",Republican,07/26/2000,106,NJ
H.R. 4957,"Rangel, Charles B. [Rep.-D-NY-15]",Democratic,07/25/2000,106,NY
H.R. 4942,"Istook, Ernest J., Jr. [Rep.-R-OK-5]",Republican,07/25/2000,106,OK
H.R. 4931,"Horn, Stephen [Rep.-R-CA-38]",Republican,07/24/2000,106,CA
H.R. 4919,"Gilman, Benjamin A. [Rep.-R-NY-20]",Republican,07/24/2000,106,NY
H.R. 4907,"Bateman, Herbert H. [Rep.-R-VA-1]",Republican,07/20/2000,106,VA
