legislation_number,sponsor,party_of_sponsor,date_of_introduction,congress,state
H.R. 12426,"Moorhead, William S. [Rep.-D-PA-14]",Democratic,04/27/1978,95,PA
H.R. 12393,"Rodino, Peter W., Jr. [Rep.-D-NJ-10]",Democratic,04/26/1978,95,NJ
H.R. 12264,"Cornell, Robert J. [Rep.-D-WI-08]",Democratic,04/20/1978,95,WI
H.R. 12255,"Brademas, John [Rep.-D-IN-03]",Democratic,04/20/1978,95,IN
H.R. 12250,"Burton, Phillip [Rep.-D-CA-06]",Democratic,04/20/1978,95,CA
H.R. 12240,"Boland, Edward P. [Rep.-D-MA-02]",Democratic,04/19/1978,95,MA
H.R. 12222,"Zablocki, Clement J. [Rep.-D-WI-04]",Democratic,04/19/1978,95,WI
H.R. 12165,"Vander Jagt, Guy [Rep.-R-MI-09]",Republican,04/17/1978,95,MI
H.R. 12140,"Johnson, Harold T. [Rep.-D-CA-01]",Democratic,04/13/1978,95,CA
H.R. 12138,"Johnson, Harold T. [Rep.-D-CA-01]",Democratic,04/13/1978,95,CA
H.R. 12116,"Dellums, Ronald V. [Rep.-D-CA-08]",Democratic,04/13/1978,95,CA
H.R. 12112,"Butler, M. Caldwell [Rep.-R-VA-06]",Republican,04/13/1978,95,VA
H.R. 12106,"Anderson, Glenn M. [Rep.-D-CA-32]",Democratic,04/13/1978,95,CA
H.R. 12051,"Rangel, Charles B. [Rep.-D-NY-19]",Democratic,04/12/1978,95,NY
H.R. 12028,"Brinkley, Jack [Rep.-D-GA-03]",Democratic,04/11/1978,95,GA
H.R. 12026,"Wirth, Timothy [Rep.-D-CO-02]",Democratic,04/11/1978,95,CO
H.R. 11945,"Whitehurst, G. William [Rep.-R-VA-02]",Republican,04/06/1978,95,VA
H.R. 11886,"Montgomery, G. V. (Sonny) [Rep.-D-MS-03]",Democratic,04/05/1978,95,MS
H.R. 11877,"Harrington, Michael J. [Rep.-D-MA-06]",Democratic,04/05/1978,95,MA
H.R. 11832,"Zablocki, Clement J. [Rep.-D-WI-04]",Democratic,04/03/1978,95,WI
H.R. 11779,"Weaver, James H. [Rep.-D-OR-04]",Democratic,03/22/1978,95,OR
H.R. 11778,"Weaver, James H. [Rep.-D-OR-04]",Democratic,03/22/1978,95,OR
H.R. 11777,"Weaver, James H. [Rep.-D-OR-04]",Democratic,03/22/1978,95,OR
H.R. 11733,"Howard, James J. [Rep.-D-NJ-03]",Democratic,03/22/1978,95,NJ
H.R. 11713,"Bedell, Berkley W. [Rep.-D-IA-06]",Democratic,03/22/1978,95,IA
H.R. 11686,"Price, Melvin [Rep.-D-IL-23]",Democratic,03/21/1978,95,IL
H.R. 11671,"Wampler, William C. [Rep.-R-VA-09]",Republican,03/20/1978,95,VA
H.R. 11662,"Tsongas, Paul E. [Rep.-D-MA-05]",Democratic,03/20/1978,95,MA
H.R. 11658,"Murphy, John M. [Rep.-D-NY-17]",Democratic,03/20/1978,95,NY
H.R. 11657,"Murphy, John M. [Rep.-D-NY-17]",Democratic,03/20/1978,95,NY
H.R. 11579,"Roberts, Ray [Rep.-D-TX-04]",Democratic,03/15/1978,95,TX
H.R. 11567,"Eckhardt, Bob [Rep.-D-TX-08]",Democratic,03/15/1978,95,TX
H.R. 11518,"Ullman, Al [Rep.-D-OR-02]",Democratic,03/14/1978,95,OR
H.R. 11504,"Jones, Ed [Rep.-D-TN-07]",Democratic,03/13/1978,95,TN
H.R. 11465,"Biaggi, Mario [Rep.-D-NY-10]",Democratic,03/13/1978,95,NY
H.R. 11401,"Teague, Olin E. [Rep.-D-TX-06]",Democratic,03/08/1978,95,TX
H.R. 11400,"Teague, Olin E. [Rep.-D-TX-06]",Democratic,03/08/1978,95,TX
H.R. 11370,"Corman, James C. [Rep.-D-CA-21]",Democratic,03/08/1978,95,CA
H.R. 11318,"Addabbo, Joseph P. [Rep.-D-NY-07]",Democratic,03/07/1978,95,NY
H.R. 11302,"Brown, George E., Jr. [Rep.-D-CA-36]",Democratic,03/06/1978,95,CA
H.R. 11291,"Teague, Olin E. [Rep.-D-TX-06]",Democratic,03/03/1978,95,TX
H.R. 11232,"Teague, Olin E. [Rep.-D-TX-06]",Democratic,03/01/1978,95,TX
H.R. 11209,"Staggers, Harley O. [Rep.-D-WV-02]",Democratic,02/28/1978,95,WV
H.R. 11055,"Ullman, Al [Rep.-D-OR-02]",Democratic,02/22/1978,95,OR
H.R. 11035,"Pickle, J. J. [Rep.-D-TX-10]",Democratic,02/21/1978,95,TX
H.R. 11005,"Vanik, Charles A. [Rep.-D-OH-22]",Democratic,02/20/1978,95,OH
H.R. 11003,"Harris, Herbert E., II [Rep.-D-VA-08]",Democratic,02/20/1978,95,VA
H.R. 11002,"Harris, Herbert E., II [Rep.-D-VA-08]",Democratic,02/20/1978,95,VA
H.R. 10982,"Mahon, George H. [Rep.-D-TX-19]",Democratic,02/15/1978,95,TX
H.R. 10965,"Rodino, Peter W., Jr. [Rep.-D-NJ-10]",Democratic,02/15/1978,95,NJ
H.R. 10899,"St Germain, Fernand J. [Rep.-D-RI-01]",Democratic,02/09/1978,95,RI
H.R. 10898,"Rooney, Fred B. [Rep.-D-PA-15]",Democratic,02/09/1978,95,PA
H.R. 10884,"Murphy, John M. [Rep.-D-NY-17]",Democratic,02/09/1978,95,NY
H.R. 10878,"Murphy, John M. [Rep.-D-NY-17]",Democratic,02/09/1978,95,NY
H.R. 10823,"Murphy, John M. [Rep.-D-NY-17]",Democratic,02/07/1978,95,NY
H.R. 10822,"Murphy, John M. [Rep.-D-NY-17]",Democratic,02/07/1978,95,NY
H.R. 10787,"Udall, Morris K. [Rep.-D-AZ-02]",Democratic,02/06/1978,95,AZ
H.R. 10732,"Murphy, John M. [Rep.-D-NY-17]",Democratic,02/02/1978,95,NY
H.R. 10730,"Murphy, John M. [Rep.-D-NY-17]",Democratic,02/02/1978,95,NY
H.R. 10600,"Udall, Morris K. [Rep.-D-AZ-02]",Democratic,01/26/1978,95,AZ
H.R. 10587,"Roncalio, Teno [Rep.-D-WY-00]",Democratic,01/26/1978,95,WY
H.R. 10581,"McCormack, Mike [Rep.-D-WA-04]",Democratic,01/26/1978,95,WA
H.R. 10569,"Brademas, John [Rep.-D-IN-03]",Democratic,01/26/1978,95,IN
