legislation_number,sponsor,party_of_sponsor,date_of_introduction,congress,state
H.R. 6842,"Garcia, Robert [Rep.-D-NY-21]",Democratic,03/18/1980,96,NY
H.R. 6839,"Breaux, John B. [Rep.-D-LA-07]",Democratic,03/18/1980,96,LA
H.R. 6836,"Zablocki, Clement J. [Rep.-D-WI-04]",Democratic,03/17/1980,96,WI
H.R. 6816,"Runnels, Harold L. [Rep.-D-NM-02]",Democratic,03/13/1980,96,NM
H.R. 6796,"Hawkins, Augustus F. [Rep.-D-CA-29]",Democratic,03/12/1980,96,CA
H.R. 6790,"Fascell, Dante B. [Rep.-D-FL-15]",Democratic,03/12/1980,96,FL
H.R. 6739,"Royer, William [Rep.-R-CA-11]",Republican,03/06/1980,96,CA
H.R. 6727,"Edwards, Jack [Rep.-R-AL-01]",Republican,03/06/1980,96,AL
H.R. 6686,"Brooks, Jack B. [Rep.-D-TX-09]",Democratic,03/04/1980,96,TX
H.R. 6671,"Biaggi, Mario [Rep.-D-NY-10]",Democratic,03/03/1980,96,NY
H.R. 6666,"Murphy, John M. [Rep.-D-NY-17]",Democratic,02/28/1980,96,NY
H.R. 6665,"Murphy, John M. [Rep.-D-NY-17]",Democratic,02/28/1980,96,NY
H.R. 6615,"Murphy, John M. [Rep.-D-NY-17]",Democratic,02/26/1980,96,NY
H.R. 6614,"Murphy, John M. [Rep.-D-NY-17]",Democratic,02/26/1980,96,NY
H.R. 6613,"Murphy, John M. [Rep.-D-NY-17]",Democratic,02/26/1980,96,NY
H.R. 6593,"Findley, Paul [Rep.-R-IL-20]",Republican,02/25/1980,96,IL
H.R. 6585,"Brooks, Jack B. [Rep.-D-TX-09]",Democratic,02/25/1980,96,TX
H.R. 6554,"Murphy, John M. [Rep.-D-NY-17]",Democratic,02/20/1980,96,NY
H.R. 6538,"Runnels, Harold L. [Rep.-D-NM-02]",Democratic,02/19/1980,96,NM
H.R. 6531,"Jacobs, Andrew, Jr. [Rep.-D-IN-11]",Democratic,02/19/1980,96,IN
H.R. 6511,"Johnson, Harold T. [Rep.-D-CA-01]",Democratic,02/13/1980,96,CA
H.R. 6464,"Nedzi, Lucien N. [Rep.-D-MI-14]",Democratic,02/07/1980,96,MI
H.R. 6440,"Guyer, Tennyson [Rep.-R-OH-04]",Republican,02/06/1980,96,OH
H.R. 6410,"Brooks, Jack B. [Rep.-D-TX-09]",Democratic,02/05/1980,96,TX
H.R. 6395,"Scheuer, James H. [Rep.-D-NY-11]",Democratic,01/31/1980,96,NY
H.R. 6374,"Akaka, Daniel K. [Rep.-D-HI-02]",Democratic,01/30/1980,96,HI
H.R. 6331,"Levitas, Elliott H. [Rep.-D-GA-04]",Democratic,01/29/1980,96,GA
H.R. 6308,"McCormack, Mike [Rep.-D-WA-04]",Democratic,01/28/1980,96,WA
H.R. 6285,"Baldus, Alvin J. [Rep.-D-WI-03]",Democratic,01/24/1980,96,WI
H.R. 6258,"Johnson, James P. (Jim) [Rep.-R-CO-04]",Republican,01/22/1980,96,CO
H.R. 6243,"Brinkley, Jack [Rep.-D-GA-03]",Democratic,01/22/1980,96,GA
H.R. 6242,"Biaggi, Mario [Rep.-D-NY-10]",Democratic,01/22/1980,96,NY
H.R. 6211,"Lujan, Manuel, Jr. [Rep.-R-NM-01]",Republican,12/20/1979,96,NM
H.R. 6169,"Livingston, Bob [Rep.-R-LA-01]",Republican,12/18/1979,96,LA
H.R. 6086,"Danielson, George E. [Rep.-D-CA-30]",Democratic,12/11/1979,96,CA
H.R. 6081,"Zablocki, Clement J. [Rep.-D-WI-04]",Democratic,12/11/1979,96,WI
H.R. 6069,"Regula, Ralph [Rep.-R-OH-16]",Republican,12/06/1979,96,OH
H.R. 6065,"Spellman, Gladys Noon [Rep.-D-MD-05]",Democratic,12/06/1979,96,MD
H.R. 6044,"Downey, Thomas J. [Rep.-D-NY-02]",Democratic,12/05/1979,96,NY
H.R. 6030,"Burgener, Clair W. [Rep.-R-CA-43]",Republican,12/04/1979,96,CA
H.R. 6029,"Ullman, Al [Rep.-D-OR-02]",Democratic,12/04/1979,96,OR
H.R. 6022,"Huckaby, Thomas J. (Jerry) [Rep.-D-LA-05]",Democratic,12/04/1979,96,LA
H.R. 6011,"Davis, Mendel J. [Rep.-D-SC-01]",Democratic,12/03/1979,96,SC
H.R. 6000,"Danielson, George E. [Rep.-D-CA-30]",Democratic,11/29/1979,96,CA
H.R. 5997,"Bennett, Charles E. [Rep.-D-FL-03]",Democratic,11/29/1979,96,FL
H.R. 5973,"Rostenkowski, Dan [Rep.-D-IL-08]",Democratic,11/28/1979,96,IL
H.R. 5926,"Fascell, Dante B. [Rep.-D-FL-15]",Democratic,11/16/1979,96,FL
H.R. 5913,"Murphy, John M. [Rep.-D-NY-17]",Democratic,11/15/1979,96,NY
H.R. 5892,"Mineta, Norman Y. [Rep.-D-CA-13]",Democratic,11/14/1979,96,CA
H.R. 5871,"Howard, James J. [Rep.-D-NJ-03]",Democratic,11/13/1979,96,NJ
H.R. 5860,"Moorhead, William S. [Rep.-D-PA-14]",Democratic,11/09/1979,96,PA
H.R. 5856,"Evans, Melvin H. [Del.-R-VI-00]",Republican,11/09/1979,96,VI
H.R. 5811,"Fauntroy, Walter E. [Del.-D-DC-00]",Democratic,11/07/1979,96,DC
H.R. 5794,"Brademas, John [Rep.-D-IN-03]",Democratic,11/02/1979,96,IN
H.R. 5788,"Sawyer, Harold S. [Rep.-R-MI-05]",Republican,11/01/1979,96,MI
H.R. 5766,"Skelton, Ike [Rep.-D-MO-04]",Democratic,10/31/1979,96,MO
H.R. 5751,"Kogovsek, Ray [Rep.-D-CO-03]",Democratic,10/31/1979,96,CO
H.R. 5748,"Emery, David F. [Rep.-R-ME-01]",Republican,10/31/1979,96,ME
H.R. 5745,"Fisher, Joesph L. [Rep.-D-VA-10]",Democratic,10/30/1979,96,VA
H.R. 5737,"Bingham, Jonathan B. [Rep.-D-NY-22]",Democratic,10/30/1979,96,NY
H.R. 5732,"Loeffler, Tom [Rep.-R-TX-21]",Republican,10/29/1979,96,TX
H.R. 5687,"Harris, Herbert E., II [Rep.-D-VA-08]",Democratic,10/23/1979,96,VA
H.R. 5673,"Ford, William D. [Rep.-D-MI-15]",Democratic,10/23/1979,96,MI
H.R. 5651,"Annunzio, Frank [Rep.-D-IL-11]",Democratic,10/19/1979,96,IL
H.R. 5645,"Mazzoli, Romano L. [Rep.-D-KY-03]",Democratic,10/18/1979,96,KY
H.R. 5612,"Addabbo, Joseph P. [Rep.-D-NY-07]",Democratic,10/17/1979,96,NY
H.R. 5580,"Daniel, W. C. (Dan) [Rep.-D-VA-05]",Democratic,10/12/1979,96,VA
H.R. 5546,"Ashley, Thomas L. [Rep.-D-OH-09]",Democratic,10/11/1979,96,OH
H.R. 5537,"Dellums, Ronald V. [Rep.-D-CA-08]",Democratic,10/11/1979,96,CA
H.R. 5523,"Bowen, David R. [Rep.-D-MS-02]",Democratic,10/10/1979,96,MS
H.R. 5506,"Dingell, John D. [Rep.-D-MI-16]",Democratic,10/09/1979,96,MI
H.R. 5505,"Rostenkowski, Dan [Rep.-D-IL-08]",Democratic,10/05/1979,96,IL
H.R. 5496,"Seiberling, John F. [Rep.-D-OH-14]",Democratic,09/28/1979,96,OH
H.R. 5487,"Johnson, James P. (Jim) [Rep.-R-CO-04]",Republican,09/28/1979,96,CO
H.R. 5451,"Murphy, John M. [Rep.-D-NY-17]",Democratic,09/27/1979,96,NY
H.R. 5419,"Burton, Phillip [Rep.-D-CA-06]",Democratic,09/27/1979,96,CA
H.R. 5410,"Spellman, Gladys Noon [Rep.-D-MD-05]",Democratic,09/26/1979,96,MD
H.R. 5391,"Ullman, Al [Rep.-D-OR-02]",Democratic,09/25/1979,96,OR
H.R. 5386,"Jeffords, James M. [Rep.-R-VT-00]",Republican,09/25/1979,96,VT
H.R. 5380,"Rodino, Peter W., Jr. [Rep.-D-NJ-10]",Democratic,09/25/1979,96,NJ
H.R. 5379,"Robinson, J. Kenneth [Rep.-R-VA-07]",Republican,09/24/1979,96,VA
H.R. 5369,"Ullman, Al [Rep.-D-OR-02]",Democratic,09/21/1979,96,OR
H.R. 5359,"Addabbo, Joseph P. [Rep.-D-NY-07]",Democratic,09/20/1979,96,NY
H.R. 5326,"Moore, W. Henson [Rep.-R-LA-06]",Republican,09/18/1979,96,LA
H.R. 5295,"Pickle, J. J. [Rep.-D-TX-10]",Democratic,09/14/1979,96,TX
H.R. 5288,"Hefner, W. G. (Bill) [Rep.-D-NC-08]",Democratic,09/14/1979,96,NC
H.R. 5279,"Zablocki, Clement J. [Rep.-D-WI-04]",Democratic,09/13/1979,96,WI
H.R. 5278,"Udall, Morris K. [Rep.-D-AZ-02]",Democratic,09/13/1979,96,AZ
H.R. 5259,"Lujan, Manuel, Jr. [Rep.-R-NM-01]",Republican,09/12/1979,96,NM
H.R. 5224,"Ullman, Al [Rep.-D-OR-02]",Democratic,09/10/1979,96,OR
H.R. 5218,"Fascell, Dante B. [Rep.-D-FL-15]",Democratic,09/07/1979,96,FL
H.R. 5192,"Ford, William D. [Rep.-D-MI-15]",Democratic,09/06/1979,96,MI
H.R. 5182,"Barnes, Michael D. [Rep.-D-MD-08]",Democratic,09/05/1979,96,MD
H.R. 5176,"Schroeder, Patricia [Rep.-D-CO-01]",Democratic,09/05/1979,96,CO
H.R. 5174,"Rodino, Peter W., Jr. [Rep.-D-NJ-10]",Democratic,09/05/1979,96,NJ
H.R. 5168,"Nichols, Bill [Rep.-D-AL-03]",Democratic,09/05/1979,96,AL
H.R. 5164,"Biaggi, Mario [Rep.-D-NY-10]",Democratic,09/05/1979,96,NY
H.R. 5163,"Bennett, Charles E. [Rep.-D-FL-03]",Democratic,09/05/1979,96,FL
H.R. 5157,"Price, Melvin [Rep.-D-IL-23]",Democratic,08/02/1979,96,IL
H.R. 5156,"Myers, John T. [Rep.-R-IN-07]",Republican,08/02/1979,96,IN
H.R. 5108,"Young, Don [Rep.-R-AK-00]",Republican,08/02/1979,96,AK
H.R. 5079,"Duncan, John J. [Rep.-R-TN-02]",Republican,08/02/1979,96,TN
H.R. 5067,"Rodino, Peter W., Jr. [Rep.-D-NJ-10]",Democratic,08/01/1979,96,NJ
H.R. 5048,"Harris, Herbert E., II [Rep.-D-VA-08]",Democratic,08/01/1979,96,VA
H.R. 5047,"Frenzel, Bill [Rep.-R-MN-03]",Republican,08/01/1979,96,MN
H.R. 5043,"Ullman, Al [Rep.-D-OR-02]",Democratic,08/01/1979,96,OR
H.R. 5025,"Nichols, Bill [Rep.-D-AL-03]",Democratic,07/31/1979,96,AL
H.R. 5016,"Johnson, Harold T. [Rep.-D-CA-01]",Democratic,07/30/1979,96,CA
H.R. 5015,"Spellman, Gladys Noon [Rep.-D-MD-05]",Democratic,07/30/1979,96,MD
H.R. 5010,"Thompson, Frank, Jr. [Rep.-D-NJ-04]",Democratic,07/30/1979,96,NJ
H.R. 4998,"Mitchell, Parren J. [Rep.-D-MD-07]",Democratic,07/27/1979,96,MD
H.R. 4996,"Marriott, David Daniel [Rep.-R-UT-02]",Republican,07/27/1979,96,UT
H.R. 4986,"St Germain, Fernand J. [Rep.-D-RI-01]",Democratic,07/27/1979,96,RI
H.R. 4968,"Fowler, Wyche, Jr. [Rep.-D-GA-05]",Democratic,07/26/1979,96,GA
H.R. 4966,"Railsback, Thomas F. [Rep.-R-IL-19]",Republican,07/26/1979,96,IL
H.R. 4955,"Fascell, Dante B. [Rep.-D-FL-15]",Democratic,07/25/1979,96,FL
H.R. 4943,"Rodino, Peter W., Jr. [Rep.-D-NJ-10]",Democratic,07/24/1979,96,NJ
H.R. 4941,"Pickle, J. J. [Rep.-D-TX-10]",Democratic,07/24/1979,96,TX
H.R. 4930,"Yates, Sidney R. [Rep.-D-IL-09]",Democratic,07/23/1979,96,IL
H.R. 4892,"Slack, John [Rep.-D-WV-03]",Democratic,07/20/1979,96,WV
H.R. 4890,"Murphy, John M. [Rep.-D-NY-17]",Democratic,07/20/1979,96,NY
H.R. 4889,"Murphy, John M. [Rep.-D-NY-17]",Democratic,07/20/1979,96,NY
H.R. 4887,"Murphy, John M. [Rep.-D-NY-17]",Democratic,07/20/1979,96,NY
H.R. 4811,"Young, Don [Rep.-R-AK-00]",Republican,07/16/1979,96,AK
H.R. 4793,"Corman, James C. [Rep.-D-CA-21]",Democratic,07/13/1979,96,CA
H.R. 4792,"Wright, James C., Jr. [Rep.-D-TX-12]",Democratic,07/13/1979,96,TX
H.R. 4778,"Patterson, Jerry M. [Rep.-D-CA-38]",Democratic,07/12/1979,96,CA
H.R. 4774,"Thompson, Frank, Jr. [Rep.-D-NJ-04]",Democratic,07/12/1979,96,NJ
H.R. 4732,"Hanley, James M. [Rep.-D-NY-32]",Democratic,07/10/1979,96,NY
H.R. 4712,"Drinan, Robert F. [Rep.-D-MA-04]",Democratic,07/10/1979,96,MA
H.R. 4627,"Won Pat, Antonio B. [Del.-D-GU-00]",Democratic,06/26/1979,96,GU
H.R. 4616,"Hanley, James M. [Rep.-D-NY-32]",Democratic,06/26/1979,96,NY
H.R. 4591,"Perkins, Carl Dewey [Rep.-D-KY-07]",Democratic,06/22/1979,96,KY
H.R. 4580,"Wilson, Charles [Rep.-D-TX-02]",Democratic,06/21/1979,96,TX
H.R. 4556,"Waxman, Henry A. [Rep.-D-CA-24]",Democratic,06/21/1979,96,CA
H.R. 4537,"Wright, James C., Jr. [Rep.-D-TX-12]",Democratic,06/19/1979,96,TX
H.R. 4522,"Markey, Edward J. [Rep.-D-MA-07]",Democratic,06/18/1979,96,MA
H.R. 4483,"AuCoin, Les [Rep.-D-OR-01]",Democratic,06/14/1979,96,OR
H.R. 4476,"Ford, William D. [Rep.-D-MI-15]",Democratic,06/14/1979,96,MI
H.R. 4453,"Waxman, Henry A. [Rep.-D-CA-24]",Democratic,06/13/1979,96,CA
H.R. 4440,"Duncan, Robert B. [Rep.-D-OR-03]",Democratic,06/13/1979,96,OR
H.R. 4417,"Bauman, Robert E. [Rep.-R-MD-01]",Republican,06/11/1979,96,MD
H.R. 4394,"Boland, Edward P. [Rep.-D-MA-02]",Democratic,06/07/1979,96,MA
H.R. 4393,"Steed, Tom [Rep.-D-OK-04]",Democratic,06/07/1979,96,OK
H.R. 4392,"Slack, John [Rep.-D-WV-03]",Democratic,06/07/1979,96,WV
H.R. 4391,"McKay, K. Gunn [Rep.-D-UT-01]",Democratic,06/07/1979,96,UT
H.R. 4388,"Bevill, Tom [Rep.-D-AL-04]",Democratic,06/07/1979,96,AL
H.R. 4387,"Whitten, Jamie L. [Rep.-D-MS-01]",Democratic,06/07/1979,96,MS
H.R. 4337,"Brooks, Jack B. [Rep.-D-TX-09]",Democratic,06/06/1979,96,TX
H.R. 4320,"McKay, K. Gunn [Rep.-D-UT-01]",Democratic,06/05/1979,96,UT
H.R. 4310,"Biaggi, Mario [Rep.-D-NY-10]",Democratic,06/05/1979,96,NY
H.R. 4289,"Whitten, Jamie L. [Rep.-D-MS-01]",Democratic,05/31/1979,96,MS
H.R. 4273,"Kastenmeier, Robert W. [Rep.-D-WI-02]",Democratic,05/31/1979,96,WI
H.R. 4259,"Annunzio, Frank [Rep.-D-IL-11]",Democratic,05/31/1979,96,IL
H.R. 4249,"Howard, James J. [Rep.-D-NJ-03]",Democratic,05/30/1979,96,NJ
H.R. 4197,"Boland, Edward P. [Rep.-D-MA-02]",Democratic,05/23/1979,96,MA
H.R. 4167,"Baldus, Alvin J. [Rep.-D-WI-03]",Democratic,05/22/1979,96,WI
H.R. 4155,"Simon, Paul [Rep.-D-IL-24]",Democratic,05/21/1979,96,IL
H.R. 4139,"Chappell, Bill, Jr. [Rep.-D-FL-04]",Democratic,05/17/1979,96,FL
H.R. 4088,"Donnelly, Brian J. [Rep.-D-MA-11]",Democratic,05/14/1979,96,MA
H.R. 4084,"Fazio, Vic [Rep.-D-CA-04]",Democratic,05/14/1979,96,CA
H.R. 4057,"Richmond, Frederick W. [Rep.-D-NY-14]",Democratic,05/10/1979,96,NY
H.R. 4032,"McClory, Robert [Rep.-R-IL-13]",Republican,05/09/1979,96,IL
H.R. 4013,"McKinney, Stewart B. [Rep.-R-CT-04]",Republican,05/08/1979,96,CT
