legislation_number,sponsor,party_of_sponsor,date_of_introduction,congress,state
H.R. 5933,"Gonzalez, Henry B. [Rep.-D-TX-20]",Democratic,10/26/1990,101,TX
H.R. 5909,"Fascell, Dante B. [Rep.-D-FL-19]",Democratic,10/24/1990,101,FL
H.R. 5872,"Clay, William (Bill) [Rep.-D-MO-1]",Democratic,10/19/1990,101,MO
H.R. 5871,"Hopkins, Larry J. [Rep.-R-KY-6]",Republican,10/19/1990,101,KY
H.R. 5835,"Panetta, Leon [Rep.-D-CA-16]",Democratic,10/15/1990,101,CA
H.R. 5803,"Murtha, John P. [Rep.-D-PA-12]",Democratic,10/09/1990,101,PA
H.R. 5796,"Richardson, Bill [Rep.-D-NM-3]",Democratic,10/05/1990,101,NM
H.R. 5794,"Roybal, Edward R. [Rep.-D-CA-25]",Democratic,10/04/1990,101,CA
H.R. 5769,"Yates, Sidney R. [Rep.-D-IL-9]",Democratic,10/02/1990,101,IL
H.R. 5759,"Goodling, William F. [Rep.-R-PA-19]",Republican,10/01/1990,101,PA
H.R. 5755,"Rostenkowski, Dan [Rep.-D-IL-8]",Democratic,09/30/1990,101,IL
H.R. 5749,"Dellums, Ronald V. [Rep.-D-CA-8]",Democratic,09/28/1990,101,CA
H.R. 5747,"Gonzalez, Henry B. [Rep.-D-TX-20]",Democratic,09/28/1990,101,TX
H.R. 5732,"Oberstar, James L. [Rep.-D-MN-8]",Democratic,09/27/1990,101,MN
H.R. 5725,"Oakar, Mary Rose [Rep.-D-OH-20]",Democratic,09/26/1990,101,OH
H.R. 5708,"Anderson, Glenn M. [Rep.-D-CA-32]",Democratic,09/25/1990,101,CA
H.R. 5702,"Waxman, Henry A. [Rep.-D-CA-24]",Democratic,09/24/1990,101,CA
H.R. 5687,"Conyers, John, Jr. [Rep.-D-MI-1]",Democratic,09/21/1990,101,MI
H.R. 5667,"Cooper, Jim [Rep.-D-TN-4]",Democratic,09/19/1990,101,TN
H.R. 5643,"Sikorski, Gerry E. [Rep.-D-MN-6]",Democratic,09/18/1990,101,MN
H.R. 5641,"Oakar, Mary Rose [Rep.-D-OH-20]",Democratic,09/18/1990,101,OH
H.R. 5579,"Rahall, Nick J., II [Rep.-D-WV-4]",Democratic,09/11/1990,101,WV
H.R. 5567,"Fascell, Dante B. [Rep.-D-FL-19]",Democratic,09/11/1990,101,FL
H.R. 5507,"Morrison, Sid [Rep.-R-WA-4]",Republican,08/03/1990,101,WA
H.R. 5497,"Jones, Walter B. [Rep.-D-NC-1]",Democratic,08/03/1990,101,NC
H.R. 5482,"Fauntroy, Walter E. [Del.-D-DC-00]",Democratic,08/03/1990,101,DC
H.R. 5433,"Staggers, Harley O., Jr. [Rep.-D-WV-2]",Democratic,08/02/1990,101,WV
H.R. 5432,"Gonzalez, Henry B. [Rep.-D-TX-20]",Democratic,08/02/1990,101,TX
H.R. 5428,"Poshard, Glenn [Rep.-D-IL-22]",Democratic,08/01/1990,101,IL
H.R. 5419,"Nielson, Howard C. [Rep.-R-UT-3]",Republican,07/31/1990,101,UT
H.R. 5409,"Nielson, Howard C. [Rep.-R-UT-3]",Republican,07/30/1990,101,UT
H.R. 5399,"Fazio, Vic [Rep.-D-CA-4]",Democratic,07/30/1990,101,CA
H.R. 5390,"Hertel, Dennis M. [Rep.-D-MI-14]",Democratic,07/27/1990,101,MI
H.R. 5367,"Houghton, Amo [Rep.-R-NY-34]",Republican,07/25/1990,101,NY
H.R. 5350,"Rostenkowski, Dan [Rep.-D-IL-8]",Democratic,07/24/1990,101,IL
H.R. 5316,"Brooks, Jack B. [Rep.-D-TX-9]",Democratic,07/19/1990,101,TX
H.R. 5313,"Hefner, W. G. (Bill) [Rep.-D-NC-8]",Democratic,07/19/1990,101,NC
H.R. 5311,"Dixon, Julian C. [Rep.-D-CA-28]",Democratic,07/19/1990,101,CA
H.R. 5308,"Stallings, Richard H. [Rep.-D-ID-2]",Democratic,07/18/1990,101,ID
H.R. 5275,"Owens, Major R. [Rep.-D-NY-12]",Democratic,07/13/1990,101,NY
H.R. 5268,"Whitten, Jamie L. [Rep.-D-MS-1]",Democratic,07/13/1990,101,MS
H.R. 5264,"Young, Don [Rep.-R-AK-00]",Republican,07/12/1990,101,AK
H.R. 5257,"Natcher, William H. [Rep.-D-KY-2]",Democratic,07/12/1990,101,KY
H.R. 5241,"Roybal, Edward R. [Rep.-D-CA-25]",Democratic,07/11/1990,101,CA
H.R. 5237,"Udall, Morris K. [Rep.-D-AZ-2]",Democratic,07/10/1990,101,AZ
H.R. 5229,"Lehman, William [Rep.-D-FL-17]",Democratic,07/10/1990,101,FL
H.R. 5209,"McCloskey, Frank [Rep.-D-IN-8]",Democratic,06/28/1990,101,IN
H.R. 5158,"Traxler, Bob [Rep.-D-MI-8]",Democratic,06/26/1990,101,MI
H.R. 5149,"Hall, Tony P. [Rep.-D-OH-3]",Democratic,06/25/1990,101,OH
H.R. 5144,"Unsoeld, Jolene [Rep.-D-WA-3]",Democratic,06/21/1990,101,WA
H.R. 5140,"Serrano, Jose E. [Rep.-D-NY-18]",Democratic,06/21/1990,101,NY
H.R. 5131,"Oberstar, James L. [Rep.-D-MN-8]",Democratic,06/21/1990,101,MN
H.R. 5114,"Obey, David R. [Rep.-D-WI-7]",Democratic,06/21/1990,101,WI
H.R. 5113,"Bruce, Terry L. [Rep.-D-IL-19]",Democratic,06/21/1990,101,IL
H.R. 5112,"Bruce, Terry L. [Rep.-D-IL-19]",Democratic,06/21/1990,101,IL
H.R. 5075,"Luken, Thomas A. [Rep.-D-OH-1]",Democratic,06/19/1990,101,OH
H.R. 5070,"Bosco, Douglas H. [Rep.-D-CA-1]",Democratic,06/19/1990,101,CA
H.R. 5021,"Smith, Neal Edward [Rep.-D-IA-4]",Democratic,06/13/1990,101,IA
H.R. 5019,"Bevill, Tom [Rep.-D-AL-4]",Democratic,06/13/1990,101,AL
H.R. 5007,"Hastert, J. Dennis [Rep.-R-IL-14]",Republican,06/12/1990,101,IL
H.R. 5004,"Clarke, James McC. [Rep.-D-NC-11]",Democratic,06/12/1990,101,NC
H.R. 4985,"Ros-Lehtinen, Ileana [Rep.-R-FL-18]",Republican,06/07/1990,101,FL
H.R. 4962,"Lehman, Richard H. [Rep.-D-CA-18]",Democratic,06/05/1990,101,CA
H.R. 4888,"Tauzin, W. J. (Billy) [Rep.-D-LA-3]",Democratic,05/23/1990,101,LA
H.R. 4872,"Ford, William D. [Rep.-D-MI-15]",Democratic,05/21/1990,101,MI
H.R. 4834,"Mavroules, Nicholas [Rep.-D-MA-6]",Democratic,05/16/1990,101,MA
H.R. 4808,"Sharp, Philip R. [Rep.-D-IN-2]",Democratic,05/14/1990,101,IN
H.R. 4793,"LaFalce, John J. [Rep.-D-NY-32]",Democratic,05/10/1990,101,NY
H.R. 4790,"Waxman, Henry A. [Rep.-D-CA-24]",Democratic,05/10/1990,101,CA
H.R. 4773,"LaFalce, John J. [Rep.-D-NY-32]",Democratic,05/09/1990,101,NY
H.R. 4758,"Coleman, Ronald D. [Rep.-D-TX-16]",Democratic,05/09/1990,101,TX
H.R. 4757,"Brooks, Jack B. [Rep.-D-TX-9]",Democratic,05/09/1990,101,TX
H.R. 4739,"Aspin, Les [Rep.-D-WI-1]",Democratic,05/08/1990,101,WI
H.R. 4721,"Slaughter, D. French, Jr. [Rep.-R-VA-7]",Republican,05/02/1990,101,VA
H.R. 4637,"Sawyer, Tom [Rep.-D-OH-14]",Democratic,04/26/1990,101,OH
H.R. 4630,"Richardson, Bill [Rep.-D-NM-3]",Democratic,04/25/1990,101,NM
H.R. 4612,"Brooks, Jack B. [Rep.-D-TX-9]",Democratic,04/25/1990,101,TX
H.R. 4593,"Kyl, Jon [Rep.-R-AZ-4]",Republican,04/24/1990,101,AZ
H.R. 4567,"Johnson, Tim [Rep.-D-SD-00]",Democratic,04/19/1990,101,SD
H.R. 4559,"Bilbray, James H. [Rep.-D-NV-1]",Democratic,04/19/1990,101,NV
H.R. 4525,"Frank, Barney [Rep.-D-MA-4]",Democratic,04/18/1990,101,MA
H.R. 4522,"Meyers, Jan [Rep.-R-KS-3]",Republican,04/18/1990,101,KS
H.R. 4501,"Parker, Mike [Rep.-D-MS-4]",Democratic,04/04/1990,101,MS
H.R. 4487,"Richardson, Bill [Rep.-D-NM-3]",Democratic,04/04/1990,101,NM
H.R. 4404,"Whitten, Jamie L. [Rep.-D-MS-1]",Democratic,03/27/1990,101,MS
H.R. 4323,"Nowak, Henry [Rep.-D-NY-33]",Democratic,03/20/1990,101,NY
H.R. 4314,"Brooks, Jack B. [Rep.-D-TX-9]",Democratic,03/20/1990,101,TX
H.R. 4299,"Nowak, Henry [Rep.-D-NY-33]",Democratic,03/19/1990,101,NY
H.R. 4279,"Conyers, John, Jr. [Rep.-D-MI-1]",Democratic,03/15/1990,101,MI
H.R. 4273,"Waxman, Henry A. [Rep.-D-CA-24]",Democratic,03/14/1990,101,CA
H.R. 4252,"Martin, David O'B. [Rep.-R-NY-26]",Republican,03/13/1990,101,NY
H.R. 4238,"Waxman, Henry A. [Rep.-D-CA-24]",Democratic,03/08/1990,101,CA
H.R. 4174,"Ford, William D. [Rep.-D-MI-15]",Democratic,03/05/1990,101,MI
H.R. 4151,"Kildee, Dale E. [Rep.-D-MI-7]",Democratic,03/01/1990,101,MI
H.R. 4111,"Craig, Larry E. [Rep.-R-ID-1]",Republican,02/27/1990,101,ID
H.R. 4107,"Bliley, Tom [Rep.-R-VA-3]",Republican,02/27/1990,101,VA
H.R. 4099,"de la Garza, E. [Rep.-D-TX-15]",Democratic,02/26/1990,101,TX
H.R. 4090,"Richardson, Bill [Rep.-D-NM-3]",Democratic,02/22/1990,101,NM
H.R. 4035,"Bosco, Douglas H. [Rep.-D-CA-1]",Democratic,02/21/1990,101,CA
H.R. 4010,"de la Garza, E. [Rep.-D-TX-15]",Democratic,02/20/1990,101,TX
H.R. 4009,"Jones, Walter B. [Rep.-D-NC-1]",Democratic,02/20/1990,101,NC
H.R. 3977,"Conte, Silvio O. [Rep.-R-MA-1]",Republican,02/07/1990,101,MA
H.R. 3968,"Walgren, Doug [Rep.-D-PA-18]",Democratic,02/06/1990,101,PA
H.R. 3961,"Erdreich, Ben [Rep.-D-AL-6]",Democratic,02/06/1990,101,AL
H.R. 3952,"Fascell, Dante B. [Rep.-D-FL-19]",Democratic,02/06/1990,101,FL
H.R. 3911,"Kennedy, Joseph P., II [Rep.-D-MA-8]",Democratic,01/30/1990,101,MA
H.R. 3910,"Hawkins, Augustus F. [Rep.-D-CA-29]",Democratic,01/30/1990,101,CA
H.R. 3897,"Brooks, Jack B. [Rep.-D-TX-9]",Democratic,01/25/1990,101,TX
H.R. 3888,"Olin, James R. [Rep.-D-VA-6]",Democratic,01/24/1990,101,VA
H.R. 3840,"Smith, Robert [Rep.-R-OR-2]",Republican,11/21/1989,101,OR
H.R. 3834,"Lewis, John [Rep.-D-GA-5]",Democratic,11/21/1989,101,GA
H.R. 3802,"Horton, Frank J. [Rep.-R-NY-29]",Republican,11/21/1989,101,NY
H.R. 3792,"Fascell, Dante B. [Rep.-D-FL-19]",Democratic,11/21/1989,101,FL
H.R. 3791,"Slaughter, D. French, Jr. [Rep.-R-VA-7]",Republican,11/20/1989,101,VA
H.R. 3789,"Vento, Bruce F. [Rep.-D-MN-4]",Democratic,11/20/1989,101,MN
H.R. 3787,"Unsoeld, Jolene [Rep.-D-WA-3]",Democratic,11/20/1989,101,WA
H.R. 3746,"Dixon, Julian C. [Rep.-D-CA-28]",Democratic,11/20/1989,101,CA
H.R. 3743,"Obey, David R. [Rep.-D-WI-7]",Democratic,11/20/1989,101,WI
H.R. 3720,"Gonzalez, Henry B. [Rep.-D-TX-20]",Democratic,11/17/1989,101,TX
