legislation_number,sponsor,party_of_sponsor,date_of_introduction,congress,state
H.R. 9544,"Mfume, Kweisi [Rep.-D-MD-7]",Democratic,09/11/2024,118,MD
H.R. 9487,"Steil, Bryan [Rep.-R-WI-1]",Republican,09/06/2024,118,WI
H.R. 9468,"Garcia, Mike [Rep.-R-CA-27]",Republican,09/06/2024,118,CA
H.R. 9421,"Perez, Marie Gluesenkamp [Rep.-D-WA-3]",Democratic,08/27/2024,118,WA
H.R. 9322,"Sykes, Emilia Strong [Rep.-D-OH-13]",Democratic,08/06/2024,118,OH
H.R. 9285,"Scholten, Hillary J. [Rep.-D-MI-3]",Democratic,08/02/2024,118,MI
H.R. 9124,"Kiley, Kevin [Rep.-R-CA-3]",Republican,07/24/2024,118,CA
H.R. 9106,"Lawler, Michael [Rep.-R-NY-17]",Republican,07/23/2024,118,NY
H.R. 9076,"LaHood, Darin [Rep.-R-IL-16]",Republican,07/22/2024,118,IL
H.R. 8976,"Bost, Mike [Rep.-R-IL-12]",Republican,07/10/2024,118,IL
H.R. 8932,"Houchin, Erin [Rep.-R-IN-9]",Republican,07/05/2024,118,IN
H.R. 8919,"Ferguson, A. Drew [Rep.-R-GA-3]",Republican,07/02/2024,118,GA
H.R. 8909,"Tokuda, Jill N. [Rep.-D-HI-2]",Democratic,06/28/2024,118,HI
H.R. 8868,"Pappas, Chris [Rep.-D-NH-1]",Democratic,06/27/2024,118,NH
H.R. 8841,"Fischbach, Michelle [Rep.-R-MN-7]",Republican,06/26/2024,118,MN
H.R. 8717,"Owens, Burgess [Rep.-R-UT-4]",Republican,06/12/2024,118,UT
H.R. 8667,"Moolenaar, John R. [Rep.-R-MI-2]",Republican,06/07/2024,118,MI
H.R. 8666,"Maloy, Celeste [Rep.-R-UT-2]",Republican,06/07/2024,118,UT
H.R. 8663,"LaLota, Nick [Rep.-R-NY-1]",Republican,06/07/2024,118,NY
H.R. 8641,"Ruiz, Raul [Rep.-D-CA-25]",Democratic,06/05/2024,118,CA
H.R. 8413,"Smith, Adrian [Rep.-R-NE-3]",Republican,05/15/2024,118,NE
H.R. 8289,"Graves, Sam [Rep.-R-MO-6]",Republican,05/08/2024,118,MO
H.R. 8219,"Tokuda, Jill N. [Rep.-D-HI-2]",Democratic,05/01/2024,118,HI
H.R. 8057,"Steel, Michelle [Rep.-R-CA-45]",Republican,04/17/2024,118,CA
H.R. 8012,"Waltz, Michael [Rep.-R-FL-6]",Republican,04/15/2024,118,FL
H.R. 7938,"Bentz, Cliff [Rep.-R-OR-2]",Republican,04/11/2024,118,OR
H.R. 7893,"Sewell, Terri A. [Rep.-D-AL-7]",Democratic,04/09/2024,118,AL
H.R. 7888,"Lee, Laurel M. [Rep.-R-FL-15]",Republican,04/09/2024,118,FL
H.R. 7872,"Curtis, John R. [Rep.-R-UT-3]",Republican,04/05/2024,118,UT
H.R. 7777,"Luttrell, Morgan [Rep.-R-TX-8]",Republican,03/21/2024,118,TX
H.R. 7764,"Wasserman Schultz, Debbie [Rep.-D-FL-25]",Democratic,03/20/2024,118,FL
H.R. 7607,"Van Drew, Jefferson [Rep.-R-NJ-2]",Republican,03/08/2024,118,NJ
H.R. 7606,"Van Drew, Jefferson [Rep.-R-NJ-2]",Republican,03/08/2024,118,NJ
H.R. 7524,"Sessions, Pete [Rep.-R-TX-17]",Republican,03/05/2024,118,TX
H.R. 7508,"Spanberger, Abigail Davis [Rep.-D-VA-7]",Democratic,02/29/2024,118,VA
H.R. 7507,"Smith, Adrian [Rep.-R-NE-3]",Republican,02/29/2024,118,NE
H.R. 7463,"Granger, Kay [Rep.-R-TX-12]",Republican,02/28/2024,118,TX
H.R. 7454,"Graves, Sam [Rep.-R-MO-6]",Republican,02/26/2024,118,MO
H.R. 7438,"LaHood, Darin [Rep.-R-IL-16]",Republican,02/23/2024,118,IL
H.R. 7423,"Scalise, Steve [Rep.-R-LA-1]",Republican,02/20/2024,118,LA
H.R. 7417,"Kelly, Mike [Rep.-R-PA-16]",Republican,02/20/2024,118,PA
H.R. 7385,"McClellan, Jennifer L. [Rep.-D-VA-4]",Democratic,02/15/2024,118,VA
H.R. 7377,"Hunt, Wesley [Rep.-R-TX-38]",Republican,02/15/2024,118,TX
H.R. 7365,"Gosar, Paul A. [Rep.-R-AZ-9]",Republican,02/15/2024,118,AZ
H.R. 7333,"Mast, Brian J. [Rep.-R-FL-21]",Republican,02/13/2024,118,FL
H.R. 7332,"Maloy, Celeste [Rep.-R-UT-2]",Republican,02/13/2024,118,UT
H.R. 7218,"Guthrie, Brett [Rep.-R-KY-2]",Republican,02/05/2024,118,KY
H.R. 7213,"Smith, Christopher H. [Rep.-R-NJ-4]",Republican,02/01/2024,118,NJ
H.R. 7199,"Fitzgerald, Scott [Rep.-R-WI-5]",Republican,02/01/2024,118,WI
H.R. 7192,"Correa, J. Luis [Rep.-D-CA-46]",Democratic,02/01/2024,118,CA
H.R. 7189,"Bilirakis, Gus M. [Rep.-R-FL-12]",Republican,02/01/2024,118,FL
H.R. 7180,"Westerman, Bruce [Rep.-R-AR-4]",Republican,01/31/2024,118,AR
H.R. 7177,"Strong, Dale W. [Rep.-R-AL-5]",Republican,01/31/2024,118,AL
H.R. 7158,"Carbajal, Salud O. [Rep.-D-CA-24]",Democratic,01/31/2024,118,CA
H.R. 7032,"Boyle, Brendan F. [Rep.-D-PA-2]",Democratic,01/18/2024,118,PA
H.R. 6983,"Scott, Austin [Rep.-R-GA-8]",Republican,01/11/2024,118,GA
H.R. 6960,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",Republican,01/11/2024,118,GA
H.R. 6852,"Espaillat, Adriano [Rep.-D-NY-13]",Democratic,12/19/2023,118,NY
H.R. 6843,"Scalise, Steve [Rep.-R-LA-1]",Republican,12/15/2023,118,LA
H.R. 6829,"Pallone, Frank, Jr. [Rep.-D-NJ-6]",Democratic,12/14/2023,118,NJ
H.R. 6826,"Mfume, Kweisi [Rep.-D-MD-7]",Democratic,12/14/2023,118,MD
H.R. 6810,"Franklin, Scott [Rep.-R-FL-18]",Republican,12/14/2023,118,FL
H.R. 6750,"Davis, Donald G. [Rep.-D-NC-1]",Democratic,12/13/2023,118,NC
H.R. 6651,"Tiffany, Thomas P. [Rep.-R-WI-7]",Republican,12/06/2023,118,WI
H.R. 6633,"Luna, Anna Paulina [Rep.-R-FL-13]",Republican,12/06/2023,118,FL
H.R. 6513,"Carey, Mike [Rep.-R-OH-15]",Republican,11/30/2023,118,OH
H.R. 6503,"Graves, Sam [Rep.-R-MO-6]",Republican,11/29/2023,118,MO
H.R. 6492,"Westerman, Bruce [Rep.-R-AR-4]",Republican,11/29/2023,118,AR
H.R. 6395,"Curtis, John R. [Rep.-R-UT-3]",Republican,11/14/2023,118,UT
H.R. 6363,"Granger, Kay [Rep.-R-TX-12]",Republican,11/13/2023,118,TX
H.R. 6324,"Bost, Mike [Rep.-R-IL-12]",Republican,11/09/2023,118,IL
H.R. 6249,"Molinaro, Marcus J. [Rep.-R-NY-19]",Republican,11/06/2023,118,NY
H.R. 6244,"Gonzalez, Vicente [Rep.-D-TX-34]",Democratic,11/06/2023,118,TX
H.R. 6188,"Fry, Russell [Rep.-R-SC-7]",Republican,11/02/2023,118,SC
H.R. 6162,"Moore, Barry [Rep.-R-AL-2]",Republican,11/01/2023,118,AL
H.R. 6116,"Frankel, Lois [Rep.-D-FL-22]",Democratic,10/30/2023,118,FL
H.R. 6073,"Boyle, Brendan F. [Rep.-D-PA-2]",Democratic,10/26/2023,118,PA
H.R. 6062,"Radewagen, Aumua Amata Coleman [Del.-R-AS-00]",Republican,10/25/2023,118,AS
H.R. 5985,"Levin, Mike [Rep.-D-CA-49]",Democratic,10/18/2023,118,CA
H.R. 5887,"Khanna, Ro [Rep.-D-CA-17]",Democratic,10/03/2023,118,CA
H.R. 5867,"Mills, Cory [Rep.-R-FL-7]",Republican,10/02/2023,118,FL
H.R. 5863,"Steube, W. Gregory [Rep.-R-FL-17]",Republican,10/02/2023,118,FL
H.R. 5861,"LaHood, Darin [Rep.-R-IL-16]",Republican,10/02/2023,118,IL
H.R. 5860,"Granger, Kay [Rep.-R-TX-12]",Republican,09/30/2023,118,TX
H.R. 5799,"Gonzales, Tony [Rep.-R-TX-23]",Republican,09/28/2023,118,TX
H.R. 5770,"Neguse, Joe [Rep.-D-CO-2]",Democratic,09/27/2023,118,CO
H.R. 5712,"Grothman, Glenn [Rep.-R-WI-6]",Republican,09/26/2023,118,WI
H.R. 5646,"McBath, Lucy [Rep.-D-GA-7]",Democratic,09/21/2023,118,GA
H.R. 5640,"Joyce, David P. [Rep.-R-OH-14]",Republican,09/21/2023,118,OH
H.R. 5536,"Fry, Russell [Rep.-R-SC-7]",Republican,09/18/2023,118,SC
H.R. 5490,"Kiggans, Jennifer A [Rep.-R-VA-2]",Republican,09/14/2023,118,VA
H.R. 5476,"Fitzpatrick, Brian K. [Rep.-R-PA-1]",Republican,09/14/2023,118,PA
H.R. 5464,"Aderholt, Robert B. [Rep.-R-AL-4]",Republican,09/14/2023,118,AL
H.R. 5443,"Lee, Susie [Rep.-D-NV-3]",Democratic,09/13/2023,118,NV
H.R. 5302,"González-Colón, Jenniffer [Resident Commissioner-R-PR-00]",Republican,08/29/2023,118,PR
H.R. 5301,"Garcia, Robert [Rep.-D-CA-42]",Democratic,08/29/2023,118,CA
H.R. 5110,"Green, Mark E. [Rep.-R-TN-7]",Republican,08/01/2023,118,TN
H.R. 5103,"Donalds, Byron [Rep.-R-FL-19]",Republican,08/01/2023,118,FL
H.R. 5009,"Joyce, David P. [Rep.-R-OH-14]",Republican,07/27/2023,118,OH
H.R. 4984,"Comer, James [Rep.-R-KY-1]",Republican,07/27/2023,118,KY
H.R. 4955,"Lee, Summer L. [Rep.-D-PA-12]",Democratic,07/27/2023,118,PA
H.R. 4581,"Hinson, Ashley [Rep.-R-IA-2]",Republican,07/12/2023,118,IA
H.R. 4467,"Brecheen, Josh [Rep.-R-OK-2]",Republican,07/06/2023,118,OK
H.R. 4389,"Salazar, Maria Elvira [Rep.-R-FL-27]",Republican,06/27/2023,118,FL
H.R. 4385,"Neguse, Joe [Rep.-D-CO-2]",Democratic,06/27/2023,118,CO
H.R. 4366,"Carter, John R. [Rep.-R-TX-31]",Republican,06/27/2023,118,TX
H.R. 4190,"Trone, David J. [Rep.-D-MD-6]",Democratic,06/15/2023,118,MD
H.R. 4136,"Self, Keith [Rep.-R-TX-3]",Republican,06/14/2023,118,TX
H.R. 4094,"Curtis, John R. [Rep.-R-UT-3]",Republican,06/14/2023,118,UT
H.R. 4004,"Smith, Jason [Rep.-R-MO-8]",Republican,06/12/2023,118,MO
H.R. 3947,"Bean, Aaron [Rep.-R-FL-4]",Republican,06/09/2023,118,FL
H.R. 3944,"Allen, Rick W. [Rep.-R-GA-12]",Republican,06/09/2023,118,GA
H.R. 3935,"Graves, Sam [Rep.-R-MO-6]",Republican,06/09/2023,118,MO
H.R. 3865,"Meuser, Daniel [Rep.-R-PA-9]",Republican,06/06/2023,118,PA
H.R. 3821,"Pascrell, Bill, Jr. [Rep.-D-NJ-9]",Democratic,06/05/2023,118,NJ
H.R. 3801,"Smith, Adrian [Rep.-R-NE-3]",Republican,06/05/2023,118,NE
H.R. 3797,"Smith, Jason [Rep.-R-MO-8]",Republican,06/05/2023,118,MO
H.R. 3746,"McHenry, Patrick T. [Rep.-R-NC-10]",Republican,05/29/2023,118,NC
H.R. 3728,"Pressley, Ayanna [Rep.-D-MA-7]",Democratic,05/25/2023,118,MA
H.R. 3672,"Bergman, Jack [Rep.-R-MI-1]",Republican,05/25/2023,118,MI
H.R. 3608,"Kim, Young [Rep.-R-CA-40]",Republican,05/23/2023,118,CA
H.R. 3391,"Wexton, Jennifer [Rep.-D-VA-10]",Democratic,05/16/2023,118,VA
H.R. 3354,"Wexton, Jennifer [Rep.-D-VA-10]",Democratic,05/15/2023,118,VA
H.R. 3324,"Huffman, Jared [Rep.-D-CA-2]",Democratic,05/15/2023,118,CA
H.R. 3315,"Cohen, Steve [Rep.-D-TN-9]",Democratic,05/15/2023,118,TN
H.R. 3254,"Payne, Donald M., Jr. [Rep.-D-NJ-10]",Democratic,05/11/2023,118,NJ
H.R. 3019,"McBath, Lucy [Rep.-D-GA-7]",Democratic,04/28/2023,118,GA
H.R. 2997,"Boebert, Lauren [Rep.-R-CO-3]",Republican,04/28/2023,118,CO
H.R. 2950,"Huffman, Jared [Rep.-D-CA-2]",Democratic,04/27/2023,118,CA
H.R. 2882,"Ciscomani, Juan [Rep.-R-AZ-6]",Republican,04/26/2023,118,AZ
H.R. 2872,"Graves, Garret [Rep.-R-LA-6]",Republican,04/26/2023,118,LA
H.R. 2839,"Hoyle, Val T. [Rep.-D-OR-4]",Democratic,04/25/2023,118,OR
H.R. 2754,"Cuellar, Henry [Rep.-D-TX-28]",Democratic,04/20/2023,118,TX
H.R. 2670,"Rogers, Mike D. [Rep.-R-AL-3]",Republican,04/18/2023,118,AL
H.R. 2544,"Bucshon, Larry [Rep.-R-IN-8]",Republican,04/10/2023,118,IN
H.R. 2468,"Owens, Burgess [Rep.-R-UT-4]",Republican,04/03/2023,118,UT
H.R. 2379,"Krishnamoorthi, Raja [Rep.-D-IL-8]",Democratic,03/29/2023,118,IL
H.R. 2365,"Bilirakis, Gus M. [Rep.-R-FL-12]",Republican,03/29/2023,118,FL
H.R. 1823,"Bilirakis, Gus M. [Rep.-R-FL-12]",Republican,03/28/2023,118,FL
H.R. 1734,"Collins, Mike [Rep.-R-GA-10]",Republican,03/23/2023,118,GA
H.R. 1727,"Trone, David J. [Rep.-D-MD-6]",Democratic,03/22/2023,118,MD
H.R. 1722,"Salinas, Andrea [Rep.-D-OR-6]",Democratic,03/22/2023,118,OR
H.R. 1607,"Schweikert, David [Rep.-R-AZ-1]",Republican,03/14/2023,118,AZ
H.R. 1568,"Waltz, Michael [Rep.-R-FL-6]",Republican,03/10/2023,118,FL
H.R. 1555,"McClintock, Tom [Rep.-R-CA-5]",Republican,03/10/2023,118,CA
H.R. 1505,"Issa, Darrell E. [Rep.-R-CA-48]",Republican,03/09/2023,118,CA
H.R. 1432,"Wenstrup, Brad R. [Rep.-R-OH-2]",Republican,03/07/2023,118,OH
H.R. 1318,"Neguse, Joe [Rep.-D-CO-2]",Democratic,03/01/2023,118,CO
H.R. 1240,"Feenstra, Randy [Rep.-R-IA-4]",Republican,02/28/2023,118,IA
H.R. 1226,"Aguilar, Pete [Rep.-D-CA-33]",Democratic,02/28/2023,118,CA
H.R. 1105,"Wagner, Ann [Rep.-R-MO-2]",Republican,02/17/2023,118,MO
H.R. 1098,"Pappas, Chris [Rep.-D-NH-1]",Democratic,02/17/2023,118,NH
H.R. 1097,"Panetta, Jimmy [Rep.-D-CA-19]",Democratic,02/17/2023,118,CA
H.R. 1096,"Moulton, Seth [Rep.-D-MA-6]",Democratic,02/17/2023,118,MA
H.R. 1076,"De La Cruz, Monica [Rep.-R-TX-15]",Republican,02/17/2023,118,TX
H.R. 1060,"Aguilar, Pete [Rep.-D-CA-33]",Democratic,02/17/2023,118,CA
H.R. 1042,"McMorris Rodgers, Cathy [Rep.-R-WA-5]",Republican,02/14/2023,118,WA
H.R. 996,"Carter, Troy [Rep.-D-LA-2]",Democratic,02/14/2023,118,LA
H.R. 815,"McMorris Rodgers, Cathy [Rep.-R-WA-5]",Republican,02/02/2023,118,WA
H.R. 807,"McHenry, Patrick T. [Rep.-R-NC-10]",Republican,02/02/2023,118,NC
H.R. 670,"Molinaro, Marcus J. [Rep.-R-NY-19]",Republican,01/31/2023,118,NY
H.R. 663,"Gallego, Ruben [Rep.-D-AZ-3]",Democratic,01/31/2023,118,AZ
H.R. 599,"Gomez, Jimmy [Rep.-D-CA-34]",Democratic,01/27/2023,118,CA
H.R. 593,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",Republican,01/27/2023,118,GA
H.R. 423,"Issa, Darrell E. [Rep.-R-CA-48]",Republican,01/20/2023,118,CA
H.R. 366,"Takano, Mark [Rep.-D-CA-39]",Democratic,01/13/2023,118,CA
H.R. 346,"Stauber, Pete [Rep.-R-MN-8]",Republican,01/12/2023,118,MN
H.R. 292,"Garcia, Mike [Rep.-R-CA-27]",Republican,01/11/2023,118,CA
H.R. 82,"Graves, Garret [Rep.-R-LA-6]",Republican,01/09/2023,118,LA
H.J.Res. 64,"Smith, Adrian [Rep.-R-NE-3]",Republican,05/11/2023,118,NE
H.J.Res. 63,"Smith, Adrian [Rep.-R-NE-3]",Republican,05/11/2023,118,NE
H.J.Res. 62,"Smith, Adrian [Rep.-R-NE-3]",Republican,05/11/2023,118,NE
H.J.Res. 26,"Clyde, Andrew S. [Rep.-R-GA-9]",Republican,02/02/2023,118,GA
H.J.Res. 7,"Gosar, Paul A. [Rep.-R-AZ-9]",Republican,01/09/2023,118,AZ
S. 5355,"Fischer, Deb [Sen.-R-NE-00]",Republican,11/20/2024,118,NE
S. 5314,"Lankford, James [Sen.-R-OK-00]",Republican,11/13/2024,118,OK
S. 4716,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,07/11/2024,118,MI
S. 4698,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,07/11/2024,118,MI
S. 4610,"Klobuchar, Amy [Sen.-D-MN-00]",Democratic,06/20/2024,118,MN
S. 4548,"Whitehouse, Sheldon [Sen.-D-RI-00]",Democratic,06/13/2024,118,RI
S. 4367,"Carper, Thomas R. [Sen.-D-DE-00]",Democratic,05/20/2024,118,DE
S. 4351,"Murray, Patty [Sen.-D-WA-00]",Democratic,05/15/2024,118,WA
S. 4243,"Butler, Laphonza R. [Sen.-D-CA-00]",Democratic,05/02/2024,118,CA
S. 4107,"Duckworth, Tammy [Sen.-D-IL-00]",Democratic,04/11/2024,118,IL
S. 4077,"Padilla, Alex [Sen.-D-CA-00]",Democratic,04/08/2024,118,CA
S. 3998,"Cruz, Ted [Sen.-R-TX-00]",Republican,03/20/2024,118,TX
S. 3960,"Coons, Christopher A. [Sen.-D-DE-00]",Democratic,03/14/2024,118,DE
S. 3959,"Wicker, Roger F. [Sen.-R-MS-00]",Republican,03/14/2024,118,MS
S. 3946,"Cruz, Ted [Sen.-R-TX-00]",Republican,03/14/2024,118,TX
S. 3938,"Warner, Mark R. [Sen.-D-VA-00]",Democratic,03/14/2024,118,VA
S. 3857,"Padilla, Alex [Sen.-D-CA-00]",Democratic,02/29/2024,118,CA
S. 3851,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,02/29/2024,118,MI
S. 3791,"Carper, Thomas R. [Sen.-D-DE-00]",Democratic,02/08/2024,118,DE
S. 3764,"Rubio, Marco [Sen.-R-FL-00]",Republican,02/07/2024,118,FL
S. 3706,"Cornyn, John [Sen.-R-TX-00]",Republican,01/31/2024,118,TX
S. 3640,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,01/23/2024,118,MI
S. 3639,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,01/23/2024,118,MI
S. 3613,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,01/18/2024,118,MI
S. 3475,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,12/12/2023,118,MI
S. 3448,"Rosen, Jacky [Sen.-D-NV-00]",Democratic,12/07/2023,118,NV
S. 3427,"Graham, Lindsey [Sen.-R-SC-00]",Republican,12/06/2023,118,SC
S. 3419,"Fetterman, John [Sen.-D-PA-00]",Democratic,12/06/2023,118,PA
S. 3285,"Daines, Steve [Sen.-R-MT-00]",Republican,11/09/2023,118,MT
S. 3267,"Rounds, Mike [Sen.-R-SD-00]",Republican,11/09/2023,118,SD
S. 3250,"Cornyn, John [Sen.-R-TX-00]",Republican,11/08/2023,118,TX
S. 3249,"Moran, Jerry [Sen.-R-KS-00]",Republican,11/08/2023,118,KS
S. 3222,"Klobuchar, Amy [Sen.-D-MN-00]",Democratic,11/02/2023,118,MN
S. 3126,"Braun, Mike [Sen.-R-IN-00]",Republican,10/25/2023,118,IN
S. 2861,"Gillibrand, Kirsten E. [Sen.-D-NY-00]",Democratic,09/20/2023,118,NY
S. 2825,"Cornyn, John [Sen.-R-TX-00]",Republican,09/14/2023,118,TX
S. 2795,"Tester, Jon [Sen.-D-MT-00]",Democratic,09/13/2023,118,MT
S. 2787,"Kennedy, John [Sen.-R-LA-00]",Republican,09/13/2023,118,LA
S. 2781,"Heinrich, Martin [Sen.-D-NM-00]",Democratic,09/13/2023,118,NM
S. 2747,"Klobuchar, Amy [Sen.-D-MN-00]",Democratic,09/07/2023,118,MN
S. 2685,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,07/27/2023,118,MI
S. 2513,"Tester, Jon [Sen.-D-MT-00]",Democratic,07/26/2023,118,MT
S. 2414,"Braun, Mike [Sen.-R-IN-00]",Republican,07/20/2023,118,IN
S. 2274,"Barrasso, John [Sen.-R-WY-00]",Republican,07/12/2023,118,WY
S. 2228,"Kelly, Mark [Sen.-D-AZ-00]",Democratic,07/11/2023,118,AZ
S. 2181,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,06/22/2023,118,MI
S. 2143,"Rounds, Mike [Sen.-R-SD-00]",Republican,06/22/2023,118,SD
S. 2051,"Durbin, Richard J. [Sen.-D-IL-00]",Democratic,06/20/2023,118,IL
S. 1973,"Brown, Sherrod [Sen.-D-OH-00]",Democratic,06/14/2023,118,OH
S. 1858,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,06/07/2023,118,MI
S. 1648,"Schmitt, Eric [Sen.-R-MO-00]",Republican,05/17/2023,118,MO
S. 1608,"Cornyn, John [Sen.-R-TX-00]",Republican,05/16/2023,118,TX
S. 1549,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,05/10/2023,118,MI
S. 1510,"Braun, Mike [Sen.-R-IN-00]",Republican,05/10/2023,118,IN
S. 1478,"Wyden, Ron [Sen.-D-OR-00]",Democratic,05/09/2023,118,OR
S. 1351,"Merkley, Jeff [Sen.-D-OR-00]",Democratic,04/27/2023,118,OR
S. 1278,"Stabenow, Debbie [Sen.-D-MI-00]",Democratic,04/25/2023,118,MI
S. 1147,"Cornyn, John [Sen.-R-TX-00]",Republican,03/30/2023,118,TX
S. 992,"Cruz, Ted [Sen.-R-TX-00]",Republican,03/28/2023,118,TX
S. 932,"Rosen, Jacky [Sen.-D-NV-00]",Democratic,03/22/2023,118,NV
S. 870,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,03/16/2023,118,MI
S. 794,"Cornyn, John [Sen.-R-TX-00]",Republican,03/14/2023,118,TX
S. 788,"Boozman, John [Sen.-R-AR-00]",Republican,03/14/2023,118,AR
S. 777,"Tester, Jon [Sen.-D-MT-00]",Democratic,03/14/2023,118,MT
S. 759,"Warnock, Raphael G. [Sen.-D-GA-00]",Democratic,03/09/2023,118,GA
S. 709,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,03/08/2023,118,MI
S. 679,"Scott, Rick [Sen.-R-FL-00]",Republican,03/07/2023,118,FL
S. 670,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,03/07/2023,118,MI
S. 656,"Fischer, Deb [Sen.-R-NE-00]",Republican,03/06/2023,118,NE
S. 619,"Hawley, Josh [Sen.-R-MO-00]",Republican,03/01/2023,118,MO
S. 612,"Cortez Masto, Catherine [Sen.-D-NV-00]",Democratic,03/01/2023,118,NV
S. 546,"Fischer, Deb [Sen.-R-NE-00]",Republican,02/28/2023,118,NE
S. 475,"Heinrich, Martin [Sen.-D-NM-00]",Democratic,02/16/2023,118,NM
S. 474,"Blackburn, Marsha [Sen.-R-TN-00]",Republican,02/16/2023,118,TN
S. 467,"Peters, Gary C. [Sen.-D-MI-00]",Democratic,02/16/2023,118,MI
S. 382,"Cantwell, Maria [Sen.-D-WA-00]",Democratic,02/09/2023,118,WA
S. 310,"Scott, Rick [Sen.-R-FL-00]",Republican,02/09/2023,118,FL
S. 265,"Durbin, Richard J. [Sen.-D-IL-00]",Democratic,02/02/2023,118,IL
S. 227,"Cornyn, John [Sen.-R-TX-00]",Republican,02/02/2023,118,TX
S. 223,"Grassley, Chuck [Sen.-R-IA-00]",Republican,02/01/2023,118,IA
S. 206,"Scott, Rick [Sen.-R-FL-00]",Republican,02/01/2023,118,FL
S. 141,"Moran, Jerry [Sen.-R-KS-00]",Republican,01/30/2023,118,KS
S. 138,"Merkley, Jeff [Sen.-D-OR-00]",Democratic,01/30/2023,118,OR
S. 134,"Collins, Susan M. [Sen.-R-ME-00]",Republican,01/30/2023,118,ME
S. 133,"Collins, Susan M. [Sen.-R-ME-00]",Republican,01/30/2023,118,ME
S. 112,"Braun, Mike [Sen.-R-IN-00]",Republican,01/26/2023,118,IN
S. 111,"Lankford, James [Sen.-R-OK-00]",Republican,01/26/2023,118,OK
S. 91,"Hagerty, Bill [Sen.-R-TN-00]",Republican,01/26/2023,118,TN
S. 59,"Sinema, Kyrsten [Sen.-I-AZ-00]",Independent,01/24/2023,118,AZ
S. 50,"Rubio, Marco [Sen.-R-FL-00]",Republican,01/24/2023,118,FL
