legislation_number,sponsor,party_of_sponsor,date_of_introduction,congress,state
H.R. 1968,"Cole, Tom [Rep.-R-OK-4]",Republican,03/10/2025,119,OK
H.J.Res. 89,"Obernolte, Jay [Rep.-R-CA-23]",Republican,04/02/2025,119,CA
H.J.Res. 88,"Joyce, John [Rep.-R-PA-13]",Republican,04/02/2025,119,PA
H.J.Res. 87,"James, John [Rep.-R-MI-10]",Republican,04/02/2025,119,MI
H.J.Res. 75,"Goldman, Craig [Rep.-R-TX-12]",Republican,03/10/2025,119,TX
H.J.Res. 61,"Griffith, H. Morgan [Rep.-R-VA-9]",Republican,02/25/2025,119,VA
H.J.Res. 60,"Maloy, Celeste [Rep.-R-UT-2]",Republican,02/21/2025,119,UT
H.J.Res. 42,"Clyde, Andrew S. [Rep.-R-GA-9]",Republican,02/12/2025,119,GA
H.J.Res. 35,"Pfluger, August [Rep.-R-TX-11]",Republican,02/04/2025,119,TX
H.J.Res. 25,"Carey, Mike [Rep.-R-OH-15]",Republican,01/21/2025,119,OH
H.J.Res. 24,"Bice, Stephanie I. [Rep.-R-OK-5]",Republican,01/16/2025,119,OK
H.J.Res. 20,"Palmer, Gary J. [Rep.-R-AL-6]",Republican,01/15/2025,119,AL
S. 160,"Sheehy, Tim [Sen.-R-MT-00]",Republican,01/21/2025,119,MT
S. 146,"Cruz, Ted [Sen.-R-TX-00]",Republican,01/16/2025,119,TX
S. 5,"Britt, Katie Boyd [Sen.-R-AL-00]",Republican,01/06/2025,119,AL
S.J.Res. 28,"Ricketts, Pete [Sen.-R-NE-00]",Republican,02/27/2025,119,NE
S.J.Res. 18,"Scott, Tim [Sen.-R-SC-00]",Republican,02/13/2025,119,SC
S.J.Res. 11,"Kennedy, John [Sen.-R-LA-00]",Republican,02/04/2025,119,LA
H.R. 10545,"Cole, Tom [Rep.-R-OK-4]",Republican,12/20/2024,118,OK
H.R. 10065,"Cloud, Michael [Rep.-R-TX-27]",Republican,10/29/2024,118,TX
H.R. 9775,"Spartz, Victoria [Rep.-R-IN-5]",Republican,09/24/2024,118,IN
H.R. 9747,"Cole, Tom [Rep.-R-OK-4]",Republican,09/23/2024,118,OK
H.R. 9600,"Bishop, Sanford D. [Rep.-D-GA-2]",Democratic,09/16/2024,118,GA
H.R. 9592,"Higgins, Clay [Rep.-R-LA-3]",Republican,09/16/2024,118,LA
H.R. 9580,"Ross, Deborah K. [Rep.-D-NC-2]",Democratic,09/12/2024,118,NC
H.R. 9566,"Langworthy, Nicholas A. [Rep.-R-NY-23]",Republican,09/12/2024,118,NY
H.R. 9549,"Bonamici, Suzanne [Rep.-D-OR-1]",Democratic,09/12/2024,118,OR
