legislation_number,sponsor,party_of_sponsor,date_of_introduction,congress,state
H.R. 6671,"Goodlatte, Bob [Rep.-R-VA-6]",Republican,12/17/2012,112,VA
H.R. 6655,"Doggett, Lloyd [Rep.-D-TX-25]",Democratic,12/13/2012,112,TX
H.R. 6634,"Cantor, Eric [Rep.-R-VA-7]",Republican,12/05/2012,112,VA
H.R. 6621,"Smith, Lamar [Rep.-R-TX-21]",Republican,11/30/2012,112,TX
H.R. 6620,"Gowdy, Trey [Rep.-R-SC-4]",Republican,11/30/2012,112,SC
H.R. 6587,"Gallegly, Elton [Rep.-R-CA-24]",Republican,11/13/2012,112,CA
H.R. 6586,"Palazzo, Steven M. [Rep.-R-MS-4]",Republican,11/09/2012,112,MS
H.R. 6582,"Aderholt, Robert B. [Rep.-R-AL-4]",Republican,11/02/2012,112,AL
H.R. 6570,"Garrett, Scott [Rep.-R-NJ-5]",Republican,10/12/2012,112,NJ
H.R. 6433,"Upton, Fred [Rep.-R-MI-6]",Republican,09/19/2012,112,MI
H.R. 6431,"Royce, Edward R. [Rep.-R-CA-40]",Republican,09/19/2012,112,CA
H.R. 6379,"Clyburn, James E. [Rep.-D-SC-6]",Democratic,09/12/2012,112,SC
H.R. 6375,"Miller, Jeff [Rep.-R-FL-1]",Republican,09/11/2012,112,FL
H.R. 6364,"Poe, Ted [Rep.-R-TX-2]",Republican,09/10/2012,112,TX
H.R. 6336,"Lungren, Daniel E. [Rep.-R-CA-3]",Republican,08/02/2012,112,CA
H.R. 6328,"Hochul, Kathleen C. [Rep.-D-NY-26]",Democratic,08/02/2012,112,NY
H.R. 6260,"Eshoo, Anna G. [Rep.-D-CA-14]",Democratic,08/01/2012,112,CA
H.R. 6223,"Dent, Charles W. [Rep.-R-PA-15]",Republican,07/26/2012,112,PA
H.R. 6215,"Smith, Lamar [Rep.-R-TX-21]",Republican,07/26/2012,112,TX
H.R. 6189,"Conyers, John, Jr. [Rep.-D-MI-14]",Democratic,07/25/2012,112,MI
H.R. 6156,"Camp, Dave [Rep.-R-MI-4]",Republican,07/19/2012,112,MI
H.R. 6131,"Bono Mack, Mary [Rep.-R-CA-45]",Republican,07/17/2012,112,CA
H.R. 6118,"Grimm, Michael G. [Rep.-R-NY-13]",Republican,07/12/2012,112,NY
H.R. 6116,"Christensen, Donna M. [Del.-D-VI-00]",Democratic,07/12/2012,112,VI
H.R. 6064,"Mica, John L. [Rep.-R-FL-7]",Republican,06/29/2012,112,FL
H.R. 6063,"Smith, Lamar [Rep.-R-TX-21]",Republican,06/29/2012,112,TX
H.R. 6060,"Bishop, Rob [Rep.-R-UT-1]",Republican,06/29/2012,112,UT
H.R. 6029,"Smith, Lamar [Rep.-R-TX-21]",Republican,06/27/2012,112,TX
H.R. 6014,"Schiff, Adam B. [Rep.-D-CA-29]",Democratic,06/21/2012,112,CA
H.R. 5986,"Camp, Dave [Rep.-R-MI-4]",Republican,06/21/2012,112,MI
H.R. 5954,"Altmire, Jason [Rep.-D-PA-4]",Democratic,06/18/2012,112,PA
H.R. 5949,"Smith, Lamar [Rep.-R-TX-21]",Republican,06/15/2012,112,TX
H.R. 5890,"Dold, Robert J. [Rep.-R-IL-10]",Republican,06/05/2012,112,IL
H.R. 5883,"Cole, Tom [Rep.-R-OK-4]",Republican,06/01/2012,112,OK
